Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2022,1815.00,1830.00,1800.10,1805.64,1805.640522875816993464,153,18,276263.00,134,87.58,29.90,-9.36
18-February-2022,1824.83,1829.99,1805.00,1812.41,1816.957446808510638297,47,19,85397.00,20,42.55,24.99,-12.42
17-February-2022,1830.00,1833.71,1815.00,1818.76,1827.555555555555555555,27,15,49344.00,16,59.26,18.71,-11.24
16-February-2022,1830.00,1835.00,1820.02,1831.00,1821.275862068965517241,29,5,52817.00,27,93.10,14.98,1.00
15-February-2022,1790.00,1834.94,1784.18,1818.03,1805.201492537313432835,134,30,241897.00,77,57.46,50.76,28.03
14-February-2022,1820.00,1820.00,1775.10,1787.38,1794.750000000000000000,296,52,531246.00,217,73.31,44.90,-32.62
11-February-2022,1850.10,1850.10,1824.00,1825.33,1832.750000000000000000,48,21,87972.00,29,60.42,26.10,-24.77
10-February-2022,1840.00,1861.34,1840.00,1861.34,1853.545454545454545454,11,9,20389.00,6,54.55,21.34,21.34
9-February-2022,1830.00,1839.98,1821.20,1821.20,1831.166666666666666666,12,5,21974.00,6,50.00,18.78,-8.80
8-February-2022,1830.00,1830.00,1790.10,1813.50,1806.183823529411764705,136,34,245641.00,114,83.82,39.90,-16.50
7-February-2022,1850.00,1850.00,1810.00,1820.73,1841.897897897897897897,333,60,613352.00,307,92.19,40.00,-29.27
4-February-2022,1841.00,1887.00,1841.00,1864.00,1864.000000000000000000,30,2,55920.00,15,50.00,46.00,23.00
3-February-2022,1880.00,1880.00,1835.80,1840.56,1863.537777777777777777,225,33,419296.00,164,72.89,44.20,-39.44
2-February-2022,1860.00,1877.97,1860.00,1877.00,1874.806451612903225806,62,10,116238.00,58,93.55,17.97,17.00
1-February-2022,1840.00,1950.00,1840.00,1843.63,1866.583333333333333333,348,93,649571.00,256,73.56,110.00,3.63
